,0
0,43182.0271899106
1,39721.17543661906
2,48997.07537197037
3,57340.79882163526
4,54197.07076299462
5,45117.319095550636
6,42634.303432421526
7,48960.42694952985
8,54752.86041591395
9,52638.63281994025
10,46560.98877771797
11,44921.23622131005
12,49033.110910869684
13,52679.22008946937
14,51306.28201006974
15,47693.37489438687
16,46814.38909819297
17,49183.322938381054
18,50992.79188910514
19,50263.74847094758
20,48604.25023510652
21,48339.81562925306
22,49163.46943763339
23,49720.56907929816
24,49509.27176376965
25,49360.605541334546
26,49344.96579664128
27,49156.78310089033
28,48832.42076576433
29,49133.883738131815
30,49829.64114773889
31,49975.144508775775
32,49114.296114037585
33,48392.31292525917
34,48824.56034774825
35,49977.392846520466
36,50277.27983954012
37,49212.62743852015
38,48151.158695018516
39,48545.87168804057
40,49997.79203350603
41,50499.70105228503
42,49333.605204847714
43,47956.99665203044
44,48383.72247864396
45,49985.36942615177
46,50611.19801622552
47,49260.204684202894
48,47895.7761081911
49,48369.79577103519
50,50068.41164973168
51,50492.0763674692
52,49200.418436846216
53,47997.031388395364
54,48604.147779938605
55,49958.18762712035
56,50237.486759300955
57,49165.84732346075
58,48350.37570065653
59,48761.731825500334
60,49707.386828447794
61,49925.54339722936
62,49255.357708733805
63,48681.24607161635
64,48852.028124248645
65,49508.97046605952
66,49753.98330283789
67,49375.30182923126
68,48831.79297232838
69,48889.493098517385
70,49337.055255551706
71,49616.70631803965
72,49312.21281747323
73,49005.933098638605
74,49030.22042057429
75,49349.55304865506
76,49377.72846379814
77,49248.04610986276
78,49191.66823365607
79,49325.46148764399
80,49251.52918400086
81,49119.086335744316
82,49185.384765816445
83,49480.002553363454
84,49459.583753993706
85,49071.77498866732
86,48894.35420900899
87,49243.54272719851
88,49657.458854153054
89,49433.03587505965
90,48908.7852509386
91,48794.63240602137
92,49335.45287861648
93,49655.43293250931
94,49390.13582652471
95,48843.9188152349
96,48844.999537122756
97,49269.920466567644
98,49647.19296638762
99,49434.544406009416
100,49005.63784670894
101,48828.1519390277
102,49219.572489537866
103,49623.26775798956
104,49556.6270866386
