,0
0,27579.406458900692
1,25238.545758224453
2,31580.476777756696
3,36929.93866462804
4,34694.55980142541
5,28773.16446002
6,27517.857423730187
7,31505.270050481588
8,34950.09703320885
9,33545.62230590949
10,30086.91362054908
11,29035.44559687098
12,31309.690591324867
13,33471.0315364675
14,33030.62574256907
15,30910.437603948016
16,29982.987257475954
17,31198.45659109713
18,32694.83024804565
19,32575.58996311297
20,31228.94909010861
21,30720.28042256171
22,31424.41727594888
23,32215.04001664497
24,31877.598089452502
25,31413.235938172827
26,31448.66542826513
27,31798.34608423464
28,31493.58513174337
29,31311.069782795024
30,31668.94753292043
31,32252.31534244727
32,31745.749037857284
33,30908.440218813612
34,31006.78888818595
35,32187.73175065736
36,32527.590008623698
37,31522.847997078752
38,30585.349516041053
39,31186.7352296093
40,32383.062092098935
41,32413.08679364835
42,31363.290285412753
43,30740.261326637217
44,31366.579486524504
45,32151.769386522566
46,32237.406324790772
47,31523.55586279847
48,31090.541767708608
49,31195.464035767945
50,31912.442448749134
51,32223.726642585963
52,31904.372880365074
53,31067.591257545202
54,31030.910298249808
55,31788.187654285714
56,32470.632675087305
57,31859.35322038016
58,30949.20274782799
59,31000.11740609316
60,32043.38295815695
61,32383.379768515948
62,31611.33376213207
63,30949.967566132593
64,31368.910082039798
65,32117.656770573616
66,31981.69267598795
67,31422.776568206344
68,31295.524032631452
69,31733.125315387053
70,31782.77743447764
71,31612.322009014468
72,31526.496332791306
73,31793.329438093846
74,31668.477527545365
75,31484.503207674534
76,31480.360690730595
77,31882.773311895646
78,31806.631913574314
79,31514.797117962986
80,31342.448757301216
81,31720.199747526833
82,31870.15347694038
83,31686.574510559156
84,31469.745409142815
85,31610.08069798694
86,31715.017795996715
87,31611.427397565527
88,31596.98015344712
89,31761.18278767141
90,31773.226978874525
91,31421.195904993932
92,31423.87841771837
93,31808.90405738735
94,32088.191694897698
95,31542.87308059703
96,31173.915907774106
97,31483.55009889572
98,32183.25814354053
99,31951.43703108007
100,31312.480108358322
101,31127.052226440348
102,31833.56004323036
103,32126.520425466915
104,31735.642949592548
105,31244.73213085802
106,31502.12350579499
107,31888.747275369915
108,31886.014417113678
109,31590.598201259352
110,31535.60117318979
111,31642.829826924688
112,31634.802781002756
113,31687.191196906697
114,31792.17945919931
115,31800.81466101343
116,31455.39822414177
117,31441.71239054734
118,31762.888551030082
119,32085.67216834915
120,31654.307198828497
121,31301.01076265007
122,31473.20857502798
123,32063.797086277867
124,31925.692077317515
125,31458.183376758294
126,31296.37952442973
127,31844.03481817756
128,32009.57361166284
129,31683.865482983543
130,31383.74987865986
131,31682.537842306134
132,31915.426115360275
133,31718.671722346142
134,31499.67795618127
135,31677.124524606486
136,31909.95463408769
137,31691.874043876574
138,31498.705282571384
139,31647.994463102834
140,31980.17122652744
141,31738.673197409957
142,31482.343993678936
143,31533.429991037643
144,31947.10912654926
145,31826.778886795844
146,31557.501786510846
147,31474.50716719278
148,31850.320913622905
149,31821.607547661137
150,31595.792789122494
151,31499.70781716235
152,31826.98473730198
153,31843.5581354029
154,31565.616843288168
155,31475.830189186585
156,31817.05268189071
157,31925.883201213463
158,31566.864064163994
159,31388.628239226175
160,31714.200181026543
161,32046.000953367926
162,31699.253973950425
163,31365.418261898078
164,31516.039306550017
165,32005.185895885494
166,31858.38266954891
167,31506.164106047094
168,31424.46441672502
169,31862.029425833483
170,31860.39672407932
171,31628.355722470933
172,31469.74676005552
173,31783.37477105642
174,31811.651759826345
175,31623.65302832058
176,31507.900942310902
177,31790.845016933206
178,31814.317385193935
179,31557.38963187624
180,31474.18083314555
181,31787.89615594255
182,31936.961041823262
183,31592.94536971236
184,31399.36001826539
185,31672.277582611972
186,32031.359230938746
187,31737.9761646596
188,31424.751406293537
189,31516.304594833127
190,31981.327956137306
191,31847.57702605555
192,31530.24208006826
193,31464.987031722798
194,31884.799422473014
195,31852.53523631385
196,31594.88818611783
197,31470.319408854368
198,31830.729997186427
199,31880.132259590395
200,31627.405261416556
201,31481.524858124787
202,31780.20226541875
203,31920.46515880678
204,31645.961140778985
205,31468.33932248565
206,31713.056387112643
207,31966.74721175444
208,31695.336027814446
209,31471.298641255147
210,31613.717938267455
211,31983.697730665648
212,31778.73944236301
213,31533.837890669874
214,31554.540181228593
215,31948.276795007456
216,31816.813492091096
217,31561.158843946727
218,31510.92186101246
219,31919.508480686465
220,31870.85436368604
221,31577.289792460007
222,31472.93929835906
223,31873.663340709478
224,31951.137620976348
225,31638.368208582793
226,31447.030159039794
227,31778.647397004996
228,31994.024865027786
229,31712.345189861502
230,31463.98204914626
231,31665.33376409005
232,32002.650033891776
233,31779.059707255692
234,31531.756010068886
235,31602.74184404524
236,31970.376851323683
237,31812.60779944963
238,31572.755077683254
239,31562.870959269017
240,31948.66419902312
241,31835.958364153834
242,31583.894883804747
243,31517.988776361835
244,31910.034419574724
245,31894.89506897487
246,31601.444573326215
247,31481.434382947013
248,31850.98908237726
249,31977.693090613582
250,31665.358096185184
251,31455.957168569752
252,31747.53960632823
253,32018.780195848172
254,31740.95276874565
255,31487.639567951595
256,31649.24458448136
257,31997.078154743675
258,31787.950250034417
259,31539.642524172756
260,31581.290532180206
261,31971.56126437116
262,31819.048491670772
263,31570.977968300518
264,31548.40432379383
265,31946.576497170587
266,31886.281613019295
267,31611.26291904628
268,31515.18546418914
269,31905.30676576437
270,31957.094939001297
271,31672.930025257116
272,31505.595076303915
273,31809.617592615614
