,0
0,41200.9386320568
1,37813.54976576827
2,46786.83091632417
3,54807.11221578288
4,51694.33323000864
5,42968.89210820742
6,40706.523987960085
7,46786.578156288866
8,52190.334247247505
9,50127.15136446571
10,44484.46853215356
11,42952.11967539774
12,46769.30071743614
13,50124.90741784702
14,48961.08771355559
15,45624.67105400846
16,44686.31615948456
17,46765.52686740646
18,48597.79596409731
19,48059.76326641512
20,46428.403291220406
21,45980.65942837182
22,46825.30071323535
23,47522.01867752134
24,47306.8920962415
25,46984.23879086645
26,46950.982837263626
27,46956.56319030475
28,46675.88538417686
29,46767.81620134107
30,47370.538508697085
31,47706.56775712073
32,46962.00648155531
33,46106.73388303297
34,46422.53185562757
35,47712.64929717689
36,48097.62226399725
37,46945.41066197217
38,45791.402875976695
39,46320.85374164938
40,47845.735652834184
41,48222.565643395305
42,46926.41554818467
43,45731.6391917142
44,46307.53849909156
45,47787.154504706254
46,48186.65363282665
47,46969.887348177566
48,45859.6889323163
49,46270.534428477506
50,47656.201215194946
51,48081.07579975488
52,47083.6162635371
53,45970.36416419022
54,46318.85179453007
55,47554.528012983435
56,48025.190592507046
57,47075.3314532294
58,46104.53713631238
59,46396.55145054346
60,47491.0953059726
61,47822.388364974846
62,47034.263001579195
63,46311.12746962698
64,46611.493601046226
65,47388.15838594141
66,47517.302631874525
67,46982.184424784755
68,46585.237545041404
69,46809.71463168757
70,47165.73293163402
71,47224.165383961685
72,46992.83115009824
73,46892.22464508776
74,46902.06489194043
75,46989.74457580913
76,47005.67667844579
77,47078.7724548767
78,47073.683127281096
79,46978.02113769972
80,46848.953639153035
81,46925.95029433011
82,47086.03570354279
83,47168.33497142776
84,47041.415882320856
85,46862.10790567023
86,46827.020101564594
87,47033.47033366463
88,47263.973969111015
89,47195.936167835054
90,46866.640021689775
91,46665.82553470041
92,46975.43044179504
93,47382.2233780769
94,47334.669164925304
95,46766.20427909975
96,46542.85218764209
97,46948.86493479287
98,47508.62642083981
99,47307.9281232745
100,46691.01351463466
101,46500.47939998687
102,47061.97516288876
103,47501.620923301525
104,47256.44936831681
105,46678.17204190187
106,46608.23149953876
107,47071.68504003086
108,47418.858315646794
109,47205.37569235527
110,46766.402625085546
111,46676.46008144162
112,46991.43339558051
113,47320.68877659751
114,47228.96663491211
115,46870.62059939245
116,46661.81347030833
117,46947.816557486585
118,47288.41837334687
119,47279.97004793922
120,46859.827749442105
121,46668.80714781696
122,46928.84739284009
123,47329.32573473468
124,47205.332163566854
125,46833.84004002325
126,46704.532836599356
127,47026.547409418985
128,47234.84801467916
129,47096.129834408326
130,46844.99278576147
131,46863.3391434122
132,47032.738788315764
133,47082.94332246871
134,46995.78301830377
135,46953.892563285204
136,47003.07381740424
137,46994.706471622165
138,46995.72827854661
139,47017.092290838336
140,47081.192012011
141,47003.103432643315
142,46942.22474505383
143,46957.131666911286
144,47086.52370708409
145,47062.97380103562
146,47001.08736733213
147,46936.50150643985
148,46997.49180595455
149,47016.738831873605
150,47027.28440550433
151,47011.21837831677
152,47019.41130154179
153,46955.826466476305
154,46923.62038967902
155,47007.51909402883
156,47117.772227403686
157,47070.5102655271
158,46879.659498984496
159,46887.28631660621
160,47089.637432829775
161,47228.31565510572
162,47036.474561286705
163,46840.703240116854
164,46912.20527961339
165,47184.14888281321
166,47188.15628232308
167,46978.890611198316
168,46827.40927475691
169,46995.77602502935
170,47142.47311030964
171,47131.09023649269
172,46970.995986340626
173,46935.67087197224
174,46979.33962897763
175,47068.998527526885
176,47077.16561992566
177,47042.273807252604
178,46944.34106946466
179,46922.07622056884
180,47022.26590052621
181,47133.65960230935
182,47089.15151072507
183,46899.12660179229
184,46887.92986475049
185,47049.324261936046
186,47177.97981124207
187,47037.770427344745
188,46883.722022519476
189,46914.09148296913
190,47136.025104922745
191,47128.204667946724
192,46982.42857291727
193,46881.340876545524
194,47002.309228343816
195,47078.12458709219
196,47028.16987053829
197,46941.05934198585
198,46990.414835480056
199,47014.63666550799
200,47000.02155887113
201,46969.51339347038
202,47016.63958778992
203,47037.98045268214
204,46969.02257685858
205,46945.55768468881
206,47005.159747612786
207,47079.52697491899
208,46997.81179356555
209,46928.65029177221
210,46954.551202346134
211,47081.17664755405
212,47042.04633261492
213,46980.71183936841
214,46980.36579445367
215,47086.82041803533
216,47018.79805203754
217,46965.783224414045
218,46979.69366600482
219,47084.78587517256
220,47052.3500358867
221,46970.07160476956
222,46942.84650241921
223,47071.0097647659
224,47093.12877395129
225,46972.687544542896
226,46913.57128493454
227,47016.70020386683
228,47111.24749540673
229,47027.7314715405
230,46938.176025055276
231,46962.372606933
232,47106.92975113301
233,47076.01131258319
234,46993.107459793355
235,46956.427318619964
236,47063.206989188286
237,47055.684019560606
238,46978.46374859433
239,47087.46222737372
240,47059.222871848295
241,46997.68245901365
242,46949.97412766
243,47054.0564743056
244,47084.971001074766
245,46994.19002736345
246,46940.00799995418
247,47029.506458551274
248,47082.146365064546
249,47015.86144529104
250,46944.292559204725
251,46990.61184631426
252,47084.74219314288
253,47036.1509870127
254,46976.2394071808
255,46980.52360797407
256,47071.94566299897
257,47036.4428423825
258,46998.62305327902
259,46990.31727631975
260,47089.6976244993
261,47042.99697495652
262,46984.204044577826
263,46985.159978033014
264,47078.86014143183
265,47068.744210348115
266,46997.37575145834
267,46964.47732063639
268,47078.27087503517
269,47107.46519886647
270,47014.281125007474
271,46951.16935084478
272,47031.66815396222
273,47104.512092016455
274,47038.57399014733
275,46973.391117470215
276,46993.30304244357
277,47087.46878387344
278,47045.08196308225
279,46980.51373395872
280,46981.10470979623
281,47097.87611933479
282,47054.010754904964
283,46996.708473178056
284,46978.00816737562
285,47092.23657437331
286,47077.757861530255
287,47003.019200252544
288,46968.21797473972
289,47079.382118900525
290,47097.712794565974
291,47020.522279734825
292,46966.9456035586
293,47044.10175977733
294,47093.29695294131
295,47020.96454916559
296,46959.675418262224
297,47007.55561689581
298,47089.876042960284
299,47047.710449977254
300,47002.677889516635
301,47026.59354495239
302,47112.37136725697
303,47041.95789540688
304,46977.37680053074
305,46974.87003074874
306,47088.721637823146
307,47042.43452512066
308,46968.32742701724
309,46948.99056370964
310,47062.31709978811
311,47058.802368366356
312,46997.72712410313
313,46969.109491817435
314,47058.846966487035
315,47085.431534176285
316,47029.32706905633
317,46952.3808400947
318,47012.873519717105
319,47064.15151021607
320,47000.69504950853
321,46962.330713379546
322,47003.82200027426
323,47081.405063147955
324,47021.839549340264
325,46966.333128243874
326,46987.88701228087
327,47083.10561161552
328,47026.94209328637
329,46969.303361525475
330,46967.076455653994
331,47078.78717673919
332,47057.0371069104
333,46985.921939639804
334,46947.13586707547
335,47061.08550819336
336,47074.40795618818
337,46984.74051182648
338,46939.38202487529
339,47029.11187020483
340,47083.8001412046
341,47017.63426770651
342,46956.51771401477
343,47013.31547763152
344,47082.494709217
345,47026.19617880251
346,46982.43221679898
347,47017.05015295776
348,47114.00304194593
349,47054.96808609884
350,46994.04218746345
351,46999.94916917417
352,47101.946436902566
353,47058.37841602202
354,46998.99852144695
355,46970.249696943174
356,47072.37149879402
357,47067.49230805185
358,47014.10794402727
359,46967.37290677354
360,47061.05478813786
361,47075.83209502573
362,47005.47907801611
363,46945.237636326674
364,47033.56647862698
365,47084.5813160523
366,47012.97676408566
367,46967.531169149224
368,47024.30381973263
369,47106.91384954377
370,47045.51821002466
371,46984.515601915875
372,47000.84421285962
373,47109.10491675539
374,47054.60985435394
375,46979.55477868071
376,46986.34629168856
377,47102.61018414491
378,47063.5766608395
379,47001.484605984035
380,46980.23695126934
381,47094.60964589616
382,47085.72108705309
383,47010.285346536315
384,46979.21332079485
385,47061.63419268628
386,47082.220164220766
387,47012.2075478398
388,46964.51917881013
389,47033.1721477806
390,47089.326269211706
391,47030.86703360605
392,46971.844128287805
393,47015.51756155709
394,47102.920019760146
395,47038.444212729184
396,46979.97255696077
397,46992.791872339745
398,47090.15396587725
399,47041.92555044319
400,46975.22582884983
401,46957.685922958306
402,47074.189184861156
403,47046.03814936729
404,46980.15326715482
405,46952.397160002954
406,47054.35889190344
407,47058.72063237037
408,47002.83387224842
409,46960.05503053898
410,47040.84271513538
411,47081.70258314963
412,47017.93194052474
413,46976.97983665014
414,47035.379207584425
415,47096.560910346714
416,47029.43502983166
417,46977.58475690807
418,46998.73086019134
419,47090.713207622764
420,47024.4795690366
421,46949.90776813925
422,46946.56925908498
423,47063.952065676065
424,47036.021801371026
425,46971.86000922115
426,46953.78493245026
427,47067.321128106596
428,47052.52012374547
429,46980.25525151254
430,46941.42646078918
431,47038.211731771524
432,47071.967300050004
433,47005.78101231418
434,46943.7967592038
435,47021.527007613855
436,47064.04850840762
437,46990.559998859084
438,46937.733894068486
439,46983.91006309716
440,47068.14085520951
441,47008.014640013134
442,46941.86907170256
443,46949.79733006505
444,47049.81801260928
445,47009.1573688834
446,46956.037407570024
447,46955.85354325887
448,47063.27895739238
449,47043.20686631595
450,46987.078579197514
451,46964.40903549535
452,47045.27477636185
453,47039.970731718626
454,46997.95691467558
455,46945.923347669144
456,47035.48873973064
457,47076.57002571648
458,47013.287696043626
459,46955.58394821583
460,47016.30874685907
461,47085.436390855204
462,47026.32772214043
463,46966.47053148938
464,46995.363990319645
465,47079.145989965466
466,47004.71932605516
467,46934.40609369769
468,46932.169573119725
469,47035.21321481624
470,46997.018934911604
471,46948.21303788926
472,46928.925653444385
473,47043.04128450122
474,47024.96589647685
475,46952.1521570062
476,46913.67801220593
477,47017.20296197993
478,47026.67553993006
479,46946.96985167018
480,46892.503487215596
481,46976.392154570436
482,47012.027727538676
483,46943.45789446129
484,46887.47456422895
485,46948.04106718154
486,47034.127392998365
487,46967.36142646817
488,46910.865483122674
489,46938.84777818486
490,47037.58396104115
491,46985.57790086441
492,46924.87729649681
493,46918.788552995866
494,47035.507467153
495,47001.4569802174
496,46929.52389809155
497,46912.955632989324
498,47019.10913774384
499,47016.19602307946
500,46963.07367045274
501,46929.74333529936
502,47016.61495403447
503,47054.749647041725
504,46983.23266715088
505,46925.85471931352
506,46989.820961734484
507,47044.88791212596
508,46978.46282640002
509,46928.06280947898
510,46963.28323299952
