,0
0,26777.759405147863
1,24468.60821838693
2,30123.754160470166
3,35522.00843162391
4,33520.95051533564
5,27780.1202464006
6,26202.94868902881
7,30350.45304196157
8,33885.98484109086
9,32399.53305906531
10,28618.189282697975
11,27840.320148403232
12,30432.83188076324
13,32427.250683284612
14,31505.553466607627
15,29483.834634782612
16,29096.561603931827
17,30287.158374406827
18,31290.211812063077
19,30977.28806680032
20,30191.350963414763
21,29806.31619055231
22,30159.828067427025
23,30557.581364359954
24,30720.76238385587
25,30467.291366227528
26,30281.011613020943
27,30157.589475525518
28,30272.58936366542
29,30340.05152353325
30,30567.387721290248
31,30625.923522449673
32,30395.516520333207
33,29932.964094263785
34,29991.75712138523
35,30633.850735291853
36,31057.835333757568
37,30489.488378058253
38,29602.17922372686
39,29773.77018638667
40,30835.704944608944
41,31304.588426793296
42,30360.368426395908
43,29427.148638710198
44,29807.12737408396
45,31047.376652668412
46,31207.48456572625
47,30234.533840754506
48,29460.316811575518
49,30036.112797554655
50,30902.915281432248
51,31001.192077964
52,30229.425452783467
53,29799.76482076117
54,30059.37650814425
55,30684.424764351217
56,30832.659943060644
57,30448.510755777756
58,29950.82308239037
59,29986.56004359453
60,30499.35274683843
61,30859.56502868641
62,30545.097123937063
63,29948.703944713194
64,29961.167948346607
65,30525.66585326046
66,30852.392689435954
67,30403.03983727279
68,29975.674050694422
69,30120.28560788906
70,30634.43932647968
71,30599.052131385848
72,30292.239933185927
73,30145.758571312464
74,30449.486312983736
75,30486.88175172951
76,30335.498096273874
77,30251.405182786824
78,30495.1214961144
79,30487.581812247638
80,30257.71467054559
81,30138.11828109162
82,30447.137648254327
83,30633.59927481089
84,30400.255924941426
85,30107.137761281007
86,30220.611221828076
87,30546.374835400115
88,30554.80278654037
89,30323.137063055776
90,30157.679944182302
91,30294.437725564752
92,30386.952195714188
93,30470.628769531526
94,30408.36774474488
95,30339.194008537997
96,30144.051579255312
97,30253.524678919865
98,30507.07412539304
99,30671.62871373941
