,0
0,24945.860064769167
1,23184.892394571754
2,28629.974644812246
3,33425.04225476413
4,31447.634212913872
5,26391.374052642524
6,24972.137396549253
7,28523.458420592742
8,31771.68023211817
9,30769.05473334181
10,27365.10423918818
11,26168.5295804162
12,28379.535224543702
13,30639.459729393424
14,30073.256805201556
15,27719.70796604246
16,26978.504979523008
17,28364.334879115326
18,29719.85935086969
19,29115.12241752347
20,27898.836573498902
21,27660.788756239468
22,28464.772549672438
23,28675.540896001894
24,28317.716003299975
25,28091.883967844562
26,28414.48294064624
27,28293.82768498771
28,27902.8335254132
29,27899.123120427863
30,28607.242054349765
31,28817.633590999467
32,28123.247198955396
33,27501.313721842555
34,27959.256915966376
35,28862.3070400581
36,28871.52160719926
37,28045.442251030305
38,27521.35757810591
39,28042.28470480426
40,28733.48156396876
41,28840.802123787078
42,28183.494075085793
43,27724.955377449343
44,27827.80392986073
45,28573.09021296612
46,28883.397965053162
47,28465.754028320654
48,27595.981948580098
49,27665.476918384487
50,28508.076346332877
51,29087.39502427136
52,28360.7343566297
53,27475.272056180867
54,27603.827359176776
55,28675.426660488018
56,29019.654396846403
57,28231.017654975196
58,27563.72165797589
59,28015.98788731575
60,28841.751973439303
61,28811.63793077953
62,28203.356364378917
63,27926.474484125156
64,28374.115534814235
65,28637.056831145608
66,28588.382224951405
67,28384.548488482873
68,28460.22315384882
69,28418.25215684271
70,28497.861726968047
71,28562.51617013647
72,28747.73362348231
73,28551.437886969747
74,28360.15515970272
75,28336.788014688675
76,28677.626034741064
77,28665.505013308128
78,28449.09741589774
79,28351.322764484044
80,28583.673419393555
81,28660.835654190058
82,28516.94813842461
83,28490.032186792676
84,28669.625027760554
85,28750.851764607134
86,28497.92838958974
87,28499.97532867979
88,28843.29518868004
89,29081.49932210028
90,28612.13332631677
91,28360.12441463486
92,28667.47589291542
93,29228.02742757381
94,29016.510383354158
95,28536.558238302776
96,28428.051214058192
97,28995.05377812349
98,29162.162886999566
99,28863.471340410244
100,28456.75887906786
101,28686.830907715346
102,29040.298682965244
103,29103.78183676696
104,28891.208797460335
105,28836.877318813516
106,28904.792294703104
107,29004.291297844597
108,29149.02798970392
109,29263.930442580684
110,29190.643301864922
111,28885.60287401848
112,28978.022206241425
113,29341.208332942544
114,29561.96195356027
115,29119.75979947763
116,28859.052072822786
117,29107.48806506581
118,29667.67677341993
119,29502.904853200613
120,29105.360370735885
121,29042.940251775795
122,29584.730671826335
123,29765.320464327175
124,29519.029513164096
125,29256.069073534825
126,29516.5508424659
127,29746.324472692093
128,29672.751988998134
129,29513.74941793368
130,29603.66591258943
131,29714.95498558147
132,29576.77039492043
133,29543.61997644503
134,29694.564783294467
135,29830.52718347742
136,29551.41359043259
137,29389.476357580512
138,29489.435573858267
139,29790.807114298426
140,29629.467914176683
141,29447.040360885316
142,29419.942429740884
143,29734.994755167703
144,29649.591368527443
145,29448.90849880252
146,29392.066208392505
147,29714.665500222483
148,29681.847377723465
149,29475.549460041897
150,29442.06235897589
151,29792.020250408284
152,29867.997677564006
153,29555.75176508493
154,29393.581597868484
155,29692.177483085754
156,29909.85695903448
157,29631.81750688691
158,29407.5611644003
159,29596.877179510957
160,29999.78836963373
161,29867.859605295744
162,29616.648655819874
163,29620.965529078232
164,29987.14308461381
165,29943.571133532365
166,29769.062650109892
167,29656.423025566994
168,29911.157779368703
169,29911.674880401784
170,29879.602817735853
171,29858.38150939581
172,30061.37444022844
173,29970.662841661127
174,29750.891232918933
175,29721.79277749767
176,30042.734413250517
177,30094.969885789225
178,29782.220536703826
179,29660.00362410895
180,29933.10118441082
181,30149.424125409336
182,29855.803156509002
183,29613.791155899908
184,29781.103674599937
185,30178.45494588099
186,30017.212514607236
187,29749.26704832887
188,29712.31547222018
189,30046.14943920104
190,29982.469081878895
191,29811.061570245958
192,29753.693199962254
193,30079.884407870395
194,30054.534999225834
195,29846.049003833476
196,29771.42343890222
197,30062.069635897577
198,30084.106903450796
199,29892.799524175047
200,29801.702442828508
201,30072.004731451216
202,30176.836932366135
203,29917.736369810435
204,29766.206168846235
205,29996.131549323967
206,30218.58388612583
207,29953.477422598527
208,29752.35918816843
209,29842.4160536979
210,30108.994003446925
211,29920.164362980366
212,29745.291777996103
