Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
24.0, 95056.89532242958, 89553.89583753298, 98804.18763210627, 101268.24394085932, 80254.7878330693, 86396.17549135393, 86391.81690118514, 83618.79242882639, 111863.21668186388, 97454.09756351681, 52972.0026817325, 93604.07663632353, 105234.47158747574, 101256.21870234236, 89177.67127486126, -187123.28369895025, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 126.0, 0.0, 0.0, 0.0, 1.6558068682138336E9, 0.0, 2022-06-21 19:21:08.213
26.0, 95159.959216113, 89600.07454157765, 93499.09049261696, 98726.67178233527, 80260.62163837215, 86409.11715139356, 84917.47348516864, 82874.6134489314, 111309.56397170592, 95355.80520103041, 51759.19702758754, 89099.61898322332, 105228.19074728379, 101126.75739845722, 88132.5037041311, -187356.45709710804, 0.0, 0.0, 0.0, 196.0, 0.0, 88.0, 0.0, 121.0, 40.0, 134.0, 0.0, 0.0, 0.0, 1.655806868221927E9, 0.0, 2022-06-21 19:21:08.221
28.0, 95012.30359224124, 89584.76359662577, 99177.01472962079, 101464.69342287701, 80264.98022854092, 86400.31056407817, 86554.1352694196, 83719.37527887528, 111758.74462827978, 96936.40881018744, 52057.61516781034, 92651.2664736827, 105250.38602952792, 101244.81931267015, 89087.59374470636, -187140.58394915867, 0.0, 0.0, 0.0, 196.0, 17.5, 80.0, 0.0, 121.0, 40.0, 142.0, 0.0, 0.0, 0.0, 1.6558068682288415E9, 0.0, 2022-06-21 19:21:08.228
30.0, 95152.85136137622, 89609.37286727106, 93244.32530931536, 98585.09583295535, 80260.46517616096, 86405.0938373916, 84778.19976546762, 82787.2404798556, 111390.81256280096, 95912.92243157893, 52704.36289362465, 90172.56977231143, 105220.18882276879, 101146.94102370036, 88259.99805450416, -187276.99664556942, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 150.0, 0.0, 0.0, 0.0, 1.6558068682368906E9, 0.0, 2022-06-21 19:21:08.236
32.0, 95032.50956922885, 89625.28730932323, 99329.63244076162, 101547.8195605063, 80251.36801616765, 86391.74984595178, 86628.61128194467, 83758.96021830563, 111640.03451347763, 96365.65701552118, 51138.24321487465, 91576.30402759362, 105251.95065163978, 101225.73092290532, 88946.4424784711, -187195.74805447436, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 158.0, 0.0, 0.0, 0.0, 1.655806868246168E9, 0.0, 2022-06-21 19:21:08.246
34.0, 95216.64324005166, 89584.67418964794, 93190.90464006718, 98547.52255052597, 80263.72853085144, 86416.31441310816, 84720.55461651739, 82755.72452017362, 111512.60721833793, 96476.02992964149, 53574.09162212511, 91239.37383167433, 105217.37250296742, 101149.01973593471, 88400.18819572785, -187240.4962468739, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 166.0, 0.0, 0.0, 0.0, 1.655806868253959E9, 0.0, 2022-06-21 19:21:08.253
36.0, 95014.29289749777, 89635.81498096169, 99290.91921936504, 101559.3754123897, 80264.42143492955, 86422.61760504456, 86698.23696592296, 83821.8356754584, 111541.61978264092, 95793.1170812985, 50286.217067982805, 90463.41067116389, 105267.35100356949, 101226.82615838363, 88804.39714245763, -187257.43886917102, 0.0, 0.0, 0.0, 196.0, 0.0, 80.0, 0.0, 121.0, 40.0, 174.0, 0.0, 0.0, 0.0, 1.6558068682609499E9, 0.0, 2022-06-21 19:21:08.260
38.0, 95164.1613440706, 89548.73258456381, 93361.1355258388, 98615.20363273665, 80266.96953379746, 86394.54381400869, 84722.43216305164, 82736.2785024975, 111615.17937364333, 97035.56114859118, 54321.75747415513, 92325.2439290576, 105227.00610482767, 101184.11197472955, 88572.36368326709, -187214.41176109455, 0.0, 0.0, 0.0, 196.0, 17.5, 80.0, 0.0, 121.0, 40.0, 182.0, 0.0, 0.0, 0.0, 1.6558068682689848E9, 0.0, 2022-06-21 19:21:08.268
40.0, 94990.84591756415, 89661.5641905742, 99056.96351015134, 101453.96458553846, 80259.9957895274, 86428.11613418057, 86669.31380859778, 83816.15833236674, 111379.8378562734, 95235.23989143848, 49541.21107354297, 89387.15182389639, 105267.6415762474, 101198.99823653678, 88632.80280027424, -187335.8711404647, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 190.0, 0.0, 0.0, 0.0, 1.6558068682779908E9, 0.0, 2022-06-21 19:21:08.277
42.0, 95182.95916115752, 89545.40217463997, 93723.14437903695, 98773.99042534715, 80263.81793782926, 86390.27463081773, 84796.75171336552, 82760.7313109316, 111720.74666270574, 97520.59400327136, 54935.29050770885, 93294.28145817298, 105215.36084596645, 101199.91465805944, 88733.45270555648, -187180.9288479005, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 40.0, 198.0, 0.0, 0.0, 0.0, 1.6558068682869067E9, 0.0, 2022-06-21 19:21:08.286
