Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
20.0, 96580.43492799222, 91392.66209514881, 93557.74147006769, 99480.99845421297, 81080.46127324835, 87474.31188515566, 84639.39543240017, 82726.8237145929, 113848.9680110178, 98558.31844309789, 55345.199149274726, 93458.25385549711, 107991.11223114876, 105822.90361200615, 88994.4093220722, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 78.0, 0.0, 0.0, 0.0, 1.6558069912989104E9, 0.0, 2022-06-21 19:23:11.298
22.0, 96280.56392437982, 91447.60268301997, 99285.55480069575, 101892.5505152405, 80971.18359460635, 87364.81068906913, 86317.29618517116, 83849.95416998318, 113401.44138353365, 95321.4505698026, 47892.456995541696, 88046.36008100034, 108084.78839216095, 105860.20867350206, 88771.94240950853, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 86.0, 0.0, 0.0, 0.0, 1.6558069913059056E9, 0.0, 2022-06-21 19:23:11.305
24.0, 96566.4427359632, 91357.97218775419, 94195.19087018858, 99741.48568409511, 81079.96953487034, 87468.67924555294, 84782.02191376948, 82807.58056730992, 113974.09307647862, 99055.75651595075, 55884.05500460327, 94378.83280263339, 107991.2463416155, 105831.24081268797, 89134.46535282915, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 94.0, 0.0, 0.0, 0.0, 1.6558069913139317E9, 0.0, 2022-06-21 19:23:11.313
26.0, 96322.87577663372, 91474.51418334416, 98640.41640048224, 101622.76495966494, 80987.05333316962, 87377.14885200845, 86188.68424757532, 83783.12245406181, 113304.94890272009, 94866.86079107056, 47461.87299035466, 87200.99475395617, 108119.67946525569, 105862.39914445867, 88636.55789334273, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 80.0, 0.0, 123.0, 9.0, 102.0, 0.0, 0.0, 0.0, 1.6558069913228643E9, 0.0, 2022-06-21 19:23:11.322
28.0, 96542.034631018, 91360.63204534436, 94981.21231570392, 100066.83767638657, 81069.82184288763, 87456.29637912469, 84958.31012228849, 82904.45302777924, 114063.5224060443, 99421.94514536204, 56164.122362628266, 95098.6483810721, 107974.99662339648, 105833.78891155588, 89264.44074683676, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 56.0, 0.0, 123.0, 9.0, 110.0, 0.0, 0.0, 0.0, 1.6558069913299696E9, 0.0, 2022-06-21 19:23:11.329
30.0, 96333.80577967236, 91482.82903228153, 97843.28613797262, 101277.54226655273, 80983.18648137886, 87380.70277937685, 85977.61672468386, 83661.1936880581, 113223.96853255852, 94565.42516534629, 47310.43992166995, 86615.82608411624, 108121.75817749003, 105867.62945266122, 88513.01980173825, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 118.0, 0.0, 0.0, 0.0, 1.6558069913380492E9, 0.0, 2022-06-21 19:23:11.338
32.0, 96513.62556381531, 91327.19383563922, 95875.81853578312, 100438.32366923377, 81052.11926127902, 87431.59770150158, 85179.52533716266, 83018.06694484556, 114126.15199400808, 99632.85620604233, 56167.22925510756, 95533.81449387247, 107967.21821632603, 105827.01633298592, 89359.7932886831, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 126.0, 0.0, 0.0, 0.0, 1.6558069913468964E9, 0.0, 2022-06-21 19:23:11.346
34.0, 96375.26826563696, 91493.58022136454, 96958.87231336502, 100898.70254977973, 80987.67918201437, 87397.7795121407, 85743.39279453669, 83529.78778240536, 113184.24948266143, 94442.22234990864, 47504.98950540895, 86339.89379881546, 108135.50450033003, 105869.52935093992, 88424.14926578394, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 134.0, 0.0, 0.0, 0.0, 1.6558069913549507E9, 0.0, 2022-06-21 19:23:11.354
36.0, 96461.52364748999, 91330.97128045217, 96808.04274178062, 100824.62886865484, 81046.24075248728, 87418.29841355067, 85425.77450582678, 83165.2308303393, 114163.1441310816, 99678.72198566461, 55901.82464144524, 95661.7335273902, 107963.97721338001, 105837.29813543537, 89427.04968774911, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 96.0, 0.0, 123.0, 9.0, 142.0, 0.0, 0.0, 0.0, 1.655806991362044E9, 0.0, 2022-06-21 19:23:11.362
38.0, 96413.33328644435, 91515.84255884202, 96024.34587768864, 100509.31280962382, 81011.30497590364, 87413.24691930377, 85493.99202990437, 83374.21964099642, 113180.5167413374, 94505.34367625043, 47987.60837168794, 86363.65370317147, 108153.38589589429, 105862.26503399195, 88374.99777972672, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.5, 64.0, 0.0, 123.0, 9.0, 150.0, 0.0, 0.0, 0.0, 1.6558069913700187E9, 0.0, 2022-06-21 19:23:11.370
